# 泰深输入法专业词库 — 医学
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一年生植物	yinianshengzhiwu
枸橼酸西地那非	juyuansuanxidinafei
枸橼酸钙	juyuansuangai
枸橼酸铁铵	juyuansuantiean
枸橼酸铋钾片	juyuansuanbijiapian
枸橼酸铋钾胶囊	juyuansuanbijiajiaonang
枸橼酸锌	juyuansuanxin
柏子仁丸	baizirenwan
柏子养心丸	baiziyangxinwan
柏油便	baiyoubian
柏油样便	baiyouyangbian
染色体不分离	ransetibufenli
染色体丢失	ransetidiushi
染色体分析	ransetifenxi
染色体图	ransetitu
染色体多态性	ransetiduotaixing
染色体断裂	ransetiduanlie
染色体畸变	ransetijibian
染色体病	ransetibing
染色体组	ransetizu
染色体组型	ransetizuxing
染色体结	ransetijie
染色体臂	ransetibi
染色体重复	ransetichongfu
染色体重排	ransetizhongpai
柔红霉素	rouhongmeisu
柘木	zhemu
柠檬烯胶囊	ningmengxijiaonang
柯琴	keqin
柯萨奇病毒	kesaqibingdu
柯萨奇病毒感染	kesaqibingduganran
柳氮磺吡啶	liudanhuangbiding
柴石退热颗粒	chaishituirekeli
柴胡口服液	chaihukoufuye
柴胡注射液	chaihuzhusheye
柴胡滴丸	chaihudiwan
柴胡疏肝散	chaihushugansan
柴葛解肌汤	chaigejiejitang
柴银口服液	chaiyinkoufuye
柴黄颗粒	chaihuangkeli
栀子苷	zhizigan
栀子金花丸	zhizijinhuawan
标准化法	biaozhunhuafa
标准化病人	biaozhunhuabingren
标准操作程序	biaozhuncaozuochengxu
标准误	biaozhunwu
标示量	biaoshiliang
标记物	biaojiwu
树枝状细胞	shuzhizhuangxibao
树突状细胞	shutuzhuangxibao
树突细胞	shutuxibao
校准曲线	jiaozhunquxian
校注妇人良方	jiaozhufurenliangfang
样地	yangdi
核小体	hexiaoti
核磁共振成像	hecigongzhenchengxiang
核糖体蛋白	hetangtidanbai
核糖核苷酸	hetanghegansuan
核糖核酸酶	hetanghesuanmei
核糖霉素	hetangmeisu
核纤层蛋白	hexiancengdanbai
核苷酸序列	hegansuanxulie
核苷酸酶	hegansuanmei
核衣壳	heyike
核衰变	heshuaibian
核酪口服液	helaokoufuye
核酸内切酶	hesuanneiqiemei
核酸外切酶	hesuanwaiqiemei
核黄素磷酸钠	hehuangsulinsuanna
根头	gentou
根尖周病	genjianzhoubing
根尖囊肿	genjiannangzhong
根尖脓肿	genjiannongzhong
根托	gentuo
根本死因	genbensiyin
根株	genzhu
根痛平胶囊	gentongpingjiaonang
根痛平颗粒	gentongpingkeli
根管治疗	genguanzhiliao
根纤维	genxianwei
根霉	genmei
根颈	genjing
格列吡嗪	geliebiqin
格列吡嗪控释片	geliebiqinkongshipian
格列吡嗪片	geliebiqinpian
格列喹酮	geliekuitong
格列喹酮片	geliekuitongpian
格列本脲	geliebenniao
格列本脲片	geliebenniaopian
格列波脲	gelieboniao
格列美脲	geliemeiniao
格列美脲片	geliemeiniaopian
格列美脲胶囊	geliemeiniaojiaonang
格列苯脲	geliebenniao
格列齐特	gelieqite
格列齐特分散片	gelieqitefensanpian
格列齐特片	gelieqitepian
格列齐特缓释片	gelieqitehuanshipian
格华止	gehuazhi
格拉司琼	gelasiqiong
桂利嗪	guiliqin
桂哌齐特	guipaiqite
桂圆琼玉冲剂	guiyuanqiongyuchongji
桂林西瓜霜	guilinxiguashuang
桂枝人参汤	guizhirenshentang
桂枝茯苓丸	guizhifulingwan
桂枝茯苓胶囊	guizhifulingjiaonang
桂枝颗粒	guizhikeli
桂皮醛	guipiquan
桂蒲肾清胶囊	guipushenqingjiaonang
桂附地黄丸	guifudihuangwan
桂附理中丸	guifulizhongwan
桂龙咳喘宁	guilongkechuanning
桂龙咳喘宁片	guilongkechuanningpian
桃红四物汤	taohongsiwutang
桃红清血丸	taohongqingxuewan
桉柠蒎肠溶软胶囊	anningpaichangrongruanjiaonang
桉油精	anyoujing
桑姜感冒片	sangjiangganmaopian
桑枝	sangzhi
桑枝颗粒	sangzhikeli
桑椹胚	sangshenpei
桑椹颗粒	sangshenkeli
桑毛虫皮炎	sangmaochongpiyan
桑皮	sangpi
桑菊感冒丸	sangjuganmaowan
桑菊感冒冲剂	sangjuganmaochongji
桑菊感冒片	sangjuganmaopian
桑菊感冒颗粒	sangjuganmaokeli
桑螵蛸散	sangpiaoshaosan
桔梗汤	jiegengtang
桡侧	raoce
桡侧副韧带	raocefurendai
桡侧腕屈肌	raocewanquji
桡侧腕短伸肌	raocewanduanshenji
桡神经	raoshenjing
桡神经损伤	raoshenjingsunshang
桡神经沟	raoshenjinggou
桡神经麻痹	raoshenjingmabi
桡腕关节	raowanguanjie
桡骨头	raogutou
桡骨头骨折	raogutouguzhe
桡骨小头半脱位	raoguxiaotoubantuowei
桡骨茎突	raogujingtu
桡骨茎突腱鞘炎	raogujingtujianqiaoyan
桶状胸	tongzhuangxiong
梁丘	liangqiu
梁丘穴	liangqiuxue
梁卓伟	liangzhuowei
梁定邦	liangdingbang
梁家骝	liangjialiu
梁智仁	liangzhiren
梁智鸿	liangzhihong
梁财信跌打丸	liangcaixindiedawan
梅克尔憩室	meikeerqishi
梅毒性心脏病	meiduxingxinzangbing
梅毒疹	meiduzhen
梅毒螺旋体	meiduluoxuanti
梓醇	zichun
梗阻性肾病	gengzuxingshenbing
梗阻性脑积水	gengzuxingnaojishui
梦里共醉	mengligongzui
梨状孔	lizhuangkong
梨状肌综合征	lizhuangjizonghezheng
梭状芽胞杆菌	suozhuangyabaoganjun
检疫期	jianyiqi
棉尘病	mianchenbing
棉酚	mianfen
棍棒伤	gunbangshang
棒状杆菌	bangzhuangganjun
棒酸	bangsuan
棘上韧带	jishangrendai
棘层	jiceng
棘球蚴病	jiqiuyoubing
森林脑炎	senlinnaoyan
森林脑炎疫苗	senlinnaoyanyimiao
植入剂	zhiruji
植入片	zhirupian
植物人	zhiwuren
植物凝集素	zhiwuningjisu
植物带	zhiwudai
植物极	zhiwuji
植物状态	zhiwuzhuangtai
植物碱	zhiwujian
植物蜡	zhiwula
植物血凝素	zhiwuxueningsu
植皮术	zhipishu
植被图	zhibeitu
植被带	zhibeidai
植骨术	zhigushu
椎前间隙	chuiqianjianxi
椎动脉型颈椎病	chuidongmaixingjingchuibing
椎基底动脉	chuijididongmai
椎孔	chuikong
椎弓根	chuigonggen
椎板	chuiban
椎管内肿瘤切除术	chuiguanneizhongliuqiechushu
椎管内麻醉	chuiguanneimazui
椎管狭窄	chuiguanxiazhai
椎管造影	chuiguanzaoying
椎间孔	chuijiankong
椎间盘变性	chuijianpanbianxing
椎间盘脱出	chuijianpantuochu
椎间盘造影	chuijianpanzaoying
椭圆囊	tuoyuannang
椰岛鹿龟酒	yedaoluguijiu
椿根皮	chungenpi
楤木	songmu
楼英	louying
楼莲胶囊	loulianjiaonang
榄香烯	lanxiangxi
榄香烯乳注射液	lanxiangxiruzhusheye
榄香烯口服乳	lanxiangxikoufuru
榄香烯注射液	lanxiangxizhusheye
槐杞黄颗粒	huaiqihuangkeli
槐耳颗粒	huaierkeli
槐角丸	huaijiaowan
槐角苷	huaijiaogan
槟榔四消丸	binglangsixiaowan
槟榔四消片	binglangsixiaopian
槟榔花	binglanghua
槲叶	huye
槲皮苷	hupigan
樟脑磺酸钠	zhangnaohuangsuanna
樟脑软膏	zhangnaoruangao
模式产地	moshichandi
模拟试卷	monishijuan
横分裂	hengfenlie
横断面调查	hengduanmiandiaocha
横桥	hengqiao
横突	hengtu
横突孔	hengtukong
横窦	hengdou
横结肠系膜	hengjiechangximo
横膈	hengge
橄榄桥脑小脑萎缩	ganlanqiaonaoxiaonaoweisuo
橘核丸	juhewan
橘红化痰丸	juhonghuatanwan
橘红痰咳泡腾片	juhongtankepaotengpian
橘红痰咳液	juhongtankeye
橘红痰咳煎膏	juhongtankejiangao
橘红胶囊	juhongjiaonang
橘红颗粒	juhongkeli
橙皮苷	chengpigan
橡胶膏剂	xiangjiaogaoji
次乌头碱	ciwutoujian
次碳酸铋	citansuanbi
次级消费者	cijixiaofeizhe
次要特质	ciyaotezhi
欣康	xinkang
止咳化痰丸	zhikehuatanwan
止咳定喘丸	zhikedingchuanwan
止咳宝片	zhikebaopian
止咳橘红口服液	zhikejuhongkoufuye
止咳橘红胶囊	zhikejuhongjiaonang
止咳橘红颗粒	zhikejuhongkeli
止咳片	zhikepian
止咳胶囊	zhikejiaonang
止喘灵气雾剂	zhichuanlingqiwuji
止嗽化痰颗粒	zhisouhuatankeli
止嗽扫痰丸	zhisousaotanwan
止嗽散	zhisousan
止嗽青果丸	zhisouqingguowan
止泻颗粒	zhixiekeli
止点	zhidian
止痒消炎水	zhiyangxiaoyanshui
止痛膏	zhitonggao
止痛透骨膏	zhitongtougugao
止眩安神颗粒	zhixuananshenkeli
止血散	zhixuesan
止血粉	zhixuefen
正中神经	zhengzhongshenjing
正中神经损伤	zhengzhongshenjingsunshang
正体类要	zhengtileiyao
正定霉素	zhengdingmeisu
正常人体功能	zhengchangrentigongneng
正常菌群	zhengchangjunqun
正心泰片	zhengxintaipian
正心泰胶囊	zhengxintaijiaonang
正心泰颗粒	zhengxintaikeli
正态分布曲线	zhengtaifenbuquxian
正柴胡饮	zhengchaihuyin
正柴胡饮颗粒	zhengchaihuyinkeli
正水	zhengshui
正清风痛宁胶囊	zhengqingfengtongningjiaonang
正畸治疗	zhengjizhiliao
正畸矫治器	zhengjijiaozhiqi
正红花油	zhenghonghuayou
正营穴	zhengyingxue
步态分析	butaifenxi
步态蹒跚	butaipanshan
武力拔寒散	wulibahansan
武忠弼	wuzhongbi
死后伤	sihoushang
死疫苗	siyimiao
死精症	sijingzheng
残胃炎	canweiyan
残角子宫	canjiaozigong
残遗种	canyizhong
殷门	yinmen
殷门穴	yinmenxue
毁灭效应	huimiexiaoying
母婴传播	muyingchuanbo
母婴护理	muyinghuli
母斑	muban
母系遗传	muxiyichuan
毒性反应	duxingfanying
毒物鉴定	duwujianding
毒理学基础	dulixuejichu
毒蛇咬伤	dusheyaoshang
毒鱼藤	duyuteng
比沙可啶	bishakeding
比沙可啶肠溶片	bishakedingchangrongpian
比特力	biteli
比目鱼肌	bimuyuji
比索洛尔	bisuoluoer
比较免疫学	bijiaomianyixue
比较心理学	bijiaoxinlixue
毛乳头	maorutou
毛冬青注射液	maodongqingzhusheye
毛冬青片	maodongqingpian
毛冬青甲素	maodongqingjiasu
毛发上皮瘤	maofashangpiliu
毛发移植	maofayizhi
毛发移植术	maofayizhishu
毛发红糠疹	maofahongkangzhen
毛囊虫病	maonangchongbing
毛囊角化病	maonangjiaohuabing
毛果芸香碱	maoguoyunxiangjian
毛果芸香碱滴眼液	maoguoyunxiangjiandiyanye
毛母质瘤	maomuzhiliu
毛泽东思想概论	maozedongsixianggailun
毛滴虫病	maodichongbing
毛状体	maozhuangti
毛球	maoqiu
毛痣	maozhi
毛细支气管炎	maoxizhiqiguanyan
毛细淋巴管	maoxilinbaguan
毛细管电泳	maoxiguandianyong
毛细管电泳法	maoxiguandianyongfa
毛细血管扩张	maoxixueguankuozhang
毛细血管扩张症	maoxixueguankuozhangzheng
毛细血管瘤	maoxixueguanliu
毛舌	maoshe
毛诃子	maohezi
毛霉病	maomeibing
气不摄血	qibushexue
气不摄血证	qibushexuezheng
气中	qizhong
气体交换	qitijiaohuan
气冲穴	qichongxue
气分大热	qifendare
气功疗法	qigongliaofa
气压创伤性中耳炎	qiyachuangshangxingzhongeryan
气厥	qijue
气味腺	qiweixian
气尿	qiniao
气性坏疽	qixinghuaiju
气流式粉碎机	qiliushifensuiji
气海俞	qihaiyu
气滞胃痛颗粒	qizhiweitongkeli
气滞血瘀	qizhixueyu
气滞血瘀证	qizhixueyuzheng
气滞证	qizhizheng
气端	qiduan
气管切开术	qiguanqiekaishu
气管插管术	qiguanchaguanshu
气管支架	qiguanzhijia
气管炎丸	qiguanyanwan
气管炎橡胶膏	qiguanyanxiangjiaogao
气管炎疫苗	qiguanyanyimiao
气管镜	qiguanjing
气管食管瘘	qiguanshiguanlou
气胀	qizhang
气脑造影	qinaozaoying
气虚便秘	qixubianmi
气虚证	qixuzheng
气血两燔	qixueliangfan
气血两虚证	qixueliangxuzheng
气血双补丸	qixueshuangbuwan
气血双补口服液	qixueshuangbukoufuye
气血固本口服液	qixuegubenkoufuye
气血失调	qixueshitiao
气血康胶囊	qixuekangjiaonang
气血津液	qixuejinye
气血运行	qixueyunxing
气道阻力	qidaozuli
气郁	qiyu
气阴两虚证	qiyinliangxuzheng
气随血脱	qisuixuetuo
氘氚反应	daochuanfanying
氟中毒	fuzhongdu
氟他胺片	futaanpian
氟伐他汀	fufatating
氟化泡沫	fuhuapaomo
氟哌啶醇片	fupaidingchunpian
氟哌酸胶囊	fupaisuanjiaonang
氟啶酸	fudingsuan
氟喹诺酮	fukuinuotong
氟奋乃静	fufennaijing
氟安定	fuanding
氟康唑注射液	fukangzuozhusheye
氟康唑片	fukangzuopian
氟康唑胶囊	fukangzuojiaonang
氟替卡松	futikasong
氟桂利嗪	fuguiliqin
氟桂嗪	fuguiqin
氟氯西林钠	fulvxilinna
氟硝西泮	fuxiaoxipan
氟罗沙星	fuluoshaxing
氟罗沙星注射液	fuluoshaxingzhusheye
氟胞嘧啶片	fubaomidingpian
氟西汀	fuxiting
氟西泮	fuxipan
氟轻松	fuqingsong
氟达拉滨	fudalabin
氟马西尼	fumaxini
氢化可的松	qinghuakedisong
氢氟噻嗪	qingfusaiqin
氢氧化铝凝胶	qingyanghualvningjiao
氢氯吡格雷片	qinglvbigeleipian
氢氯噻嗪	qinglvsaiqin
氢氯噻嗪片	qinglvsaiqinpian
氢溴酸东莨菪碱	qingxiusuandonglangdangjian
氢溴酸加兰他敏片	qingxiusuanjialantaminpian
氢溴酸右美沙芬	qingxiusuanyoumeishafen
氢溴酸右美沙芬片	qingxiusuanyoumeishafenpian
氢溴酸山莨菪碱	qingxiusuanshanlangdangjian
氢溴酸槟榔碱	qingxiusuanbinglangjian
氢溴酸西酞普兰片	qingxiusuanxitaipulanpian
氢溴酸高乌甲素	qingxiusuangaowujiasu
氧化纤维素	yanghuaxianweisu
氧化苦参碱	yanghuakushenjian
氧化还原	yanghuahuanyuan
氧化还原电位	yanghuahuanyuandianwei
氧化锌油	yanghuaxinyou
氧化锌软膏	yanghuaxinruangao
氧含量	yanghanliang
氧哌嗪青霉素	yangpaiqinqingmeisu
氧容量	yangrongliang
氧氟沙星滴眼液	yangfushaxingdiyanye
氧氟沙星滴耳液	yangfushaxingdierye
氧氟沙星片	yangfushaxingpian
氧氟沙星眼膏	yangfushaxingyangao
氧氟沙星胶囊	yangfushaxingjiaonang
氧自由基	yangziyouji
氧输送	yangshusong
氧饱和度	yangbaohedu
氨中毒	anzhongdu
氨咖黄敏	ankahuangmin
氨咖黄敏胶囊	ankahuangminjiaonang
氨咖黄敏颗粒	ankahuangminkeli
氨基乙磺酸	anjiyihuangsuan
氨基乙酸	anjiyisuan
氨基偶氮苯	anjioudanben
氨基比林	anjibilin
氨基比林咖啡因片	anjibilinkafeiyinpian
氨基甲酸酯类农药	anjijiasuanzhileinongyao
氨基糖苷	anjitanggan
氨基苷类抗生素	anjiganleikangshengsu
氨基葡萄糖	anjiputaotang
氨基酸代谢病	anjisuandaixiebing
氨基酸代谢紊乱	anjisuandaixiewenluan
氨基酸口服液	anjisuankoufuye
氨基酸注射液	anjisuanzhusheye
氨基酸螯合钙	anjisuanaohegai
氨基酸颗粒	anjisuankeli
氨曲南	anqunan
氨溴特罗口服溶液	anxiuteluokoufurongye
氨溴索	anxiusuo
氨溴索口服液	anxiusuokoufuye
氨溴索注射液	anxiusuozhusheye
氨甲环酸	anjiahuansuan
氨甲环酸注射液	anjiahuansuanzhusheye
氨甲苯酸	anjiabensuan
氨磺必利	anhuangbili
氨苄西林胶囊	anbianxilinjiaonang
氨苄西林钠	anbianxilinna
氨苯蝶啶	anbendieding
氨茶碱注射液	anchajianzhusheye
氨茶碱片	anchajianpian
氨酚伪麻片	anfenweimapian
氨酚伪麻美芬片	anfenweimameifenpian
氨酚伪麻美那敏片	anfenweimameinaminpian
氨酚伪麻胶囊	anfenweimajiaonang
氨酚伪麻那敏片	anfenweimanaminpian
氨酚双氢可待因片	anfenshuangqingkedaiyinpian
氨酚待因	anfendaiyin
氨酚待因片	anfendaiyinpian
氨酚曲马多片	anfenqumaduopian
氨酚烷胺那敏胶囊	anfenwanannaminjiaonang
氨酚美伪麻片	anfenmeiweimapian
氨酚羟考酮	anfenqiangkaotong
氨酪酸	anlaosuan
氨金黄敏颗粒	anjinhuangminkeli
氨非咖片	anfeikapian
氨麻美敏口服溶液	anmameiminkoufurongye
氨麻美敏片	anmameiminpian
氮平衡	danpingheng
氮杂胞苷	danzabaogan
氮质血症	danzhixuezheng
氯丙咪嗪	lvbingmiqin
氯丙烯	lvbingxi
氯丙那林	lvbingnalin
氯乙烯中毒	lvyixizhongdu
氯化亚汞	lvhuayagong
氯化琥珀胆碱	lvhuahupodanjian
氯化胆碱	lvhuadanjian
氯化钠注射液	lvhuanazhusheye
氯化钠溶液	lvhuanarongye
氯化钠滴眼液	lvhuanadiyanye
氯化钾注射液	lvhuajiazhusheye
氯化钾片	lvhuajiapian
氯化钾缓释片	lvhuajiahuanshipian
氯哌斯汀	lvpaisiting
氯唑西林	lvzuoxilin
氯唑西林钠	lvzuoxilinna
氯噻酮	lvsaitong
氯已定	lvyiding
氯氮卓	lvdanzhuo
氯氮平	lvdanping
氯氮平片	lvdanpingpian
氯沙坦钾	lvshatanjia
氯沙坦钾片	lvshatanjiapian
氯烯雌醚	lvxicimi
氯痤疮	lvcuochuang
氯硝西泮	lvxiaoxipan
氯硝西泮片	lvxiaoxipanpian
氯磷定	lvlinding
氯磺丙脲	lvhuangbingniao
氯磺丙脲片	lvhuangbingniaopian
氯美扎酮	lvmeizhatong
氯美扎酮片	lvmeizhatongpian
氯膦酸二钠胶囊	lvlinsuanernajiaonang
氯芬黄敏片	lvfenhuangminpian
氯苯那敏	lvbennamin
氯解磷定	lvjielinding
氯解磷定注射液	lvjielindingzhusheye
氯诺昔康	lvnuoxikang
氯酚	lvfen
氯雷他定	lvleitading
氯雷他定咀嚼片	lvleitadingjujuepian
氯雷他定片	lvleitadingpian
氯雷他定糖浆	lvleitadingtangjiang
氯雷他定胶囊	lvleitadingjiaonang
氯霉素注射液	lvmeisuzhusheye
氯霉素滴眼液	lvmeisudiyanye
氯霉素片	lvmeisupian
氯马斯汀	lvmasiting
氰化物中毒	qinghuawuzhongdu
水凝胶	shuiningjiao
水分穴	shuifenxue
水利尿	shuiliniao
水半夏	shuibanxia
水媒	shuimei
水平传递	shuipingchuandi
水杨酸盐	shuiyangsuanyan
水杨酸苯酚贴膏	shuiyangsuanbenfentiegao
水杨酸软膏	shuiyangsuanruangao
水气凌心	shuiqilingxin
水沟穴	shuigouxue
水泥尘肺	shuinichenfei
水溶性维生素	shuirongxingweishengsu
水牛角浓缩粉	shuiniujiaonongsuofen
水电解质	shuidianjiezhi
水电解质紊乱	shuidianjiezhiwenluan
水疱疹	shuipaozhen
水痘疫苗	shuidouyimiao
水突穴	shuituxue
水翁花	shuiwenghua
水蛭素	shuizhisu
水解明胶	shuijiemingjiao
水谷之海	shuiguzhihai
水谷精微	shuigujingwei
水道穴	shuidaoxue
水金凤	shuijinfeng
水陆二仙丹	shuiluerxiandan
水飞蓟宾胶囊	shuifeijibinjiaonang
水飞蓟宾葡甲胺片	shuifeijibinpujiaanpian
水飞蓟素	shuifeijisu
永盛合阿胶	yongshengheejiao
求美动机	qiumeidongji
汉坦病毒肺综合症	hantanbingdufeizonghezheng
汉桃叶软胶囊	hantaoyeruanjiaonang
汗孔角化症	hankongjiaohuazheng
汗疱症	hanpaozheng
汗管瘤	hanguanliu
汞溴红溶液	gongxiuhongrongye
汤于翰	tangyuhan
汤尔和	tangerhe
汤液	tangye
汽油中毒	qiyouzhongdu
沃正刚	wozhenggang
沈琼	shenqiong
沈祖尧	shenzuyao
沈自尹	shenziyin
沈阳急救中心	shenyangjijiuzhongxin
沈阳红药	shenyanghongyao
沈阳红药胶囊	shenyanghongyaojiaonang
沉降分析	chenjiangfenxi
沉降率	chenjianglv
沉香化气丸	chenxianghuaqiwan
沉香化气胶囊	chenxianghuaqijiaonang
沉香化滞丸	chenxianghuazhiwan
沉香十七味丸	chenxiangshiqiweiwan
沉香曲	chenxiangqu
沙丁胺醇气雾剂	shadinganchunqiwuji
沙参止咳汤散	shashenzhiketangsan
沙参麦冬汤	shashenmaidongtang
沙培林	shapeilin
沙壤土	sharangtu
沙奎那韦	shakuinawei
沙棘油	shajiyou
沙棘籽油软胶囊	shajiziyouruanjiaonang
沙眼衣原体	shayanyiyuanti
沙美特罗	shameiteluo
沙美特罗替卡松	shameiteluotikasong
沙门氏菌感染	shamenshijunganran
河豚毒	hetundu
河车大造丸	hechedazaowan
沸腾干燥	feitengganzao
油彩皮炎	youcaipiyan
治伤消瘀丸	zhishangxiaoyuwan
治伤软膏	zhishangruangao
治偏痛颗粒	zhipiantongkeli
治咳川贝枇杷滴丸	zhikechuanbeipipadiwan
治咳川贝枇杷露	zhikechuanbeipipalu
治感佳片	zhiganjiapian
治疗指数	zhiliaozhishu
治疗措施	zhiliaocuoshi
治病求本	zhibingqiuben
治糜灵栓	zhimilingshuan
沿河土家族自治县	yanhetujiazuzizhixian
泄殖腔畸形	xiezhiqiangjixing
泊洛沙姆	poluoshamu
泌尿外科学	miniaowaikexue
泌尿宁胶囊	miniaoningjiaonang
泌尿系结核	miniaoxijiehe
泌尿系结石	miniaoxijieshi
泌尿系统药	miniaoxitongyao
泌淋清胶囊	milinqingjiaonang
法医学概论	fayixuegailun
法医毒物分析	fayiduwufenxi
法医物证学	fayiwuzhengxue
法医病理学	fayibinglixue
法医精神病学	fayijingshenbingxue
法医遗传学	fayiyichuanxue
法半夏	fabanxia
法洛氏三联症	faluoshisanlianzheng
法罗培南钠	faluopeinanna
法舒地尔	fashudier
法莫替丁咀嚼片	famotidingjujuepian
泛影葡胺	fanyingpuan
泛昔洛韦	fanxiluowei
泛昔洛韦片	fanxiluoweipian
泛酸钙	fansuangai
泡囊	paonang
泡腾崩解剂	paotengbengjieji
泥浴	niyu
泥炭藓	nitanxian
注射用伏立康唑	zhusheyongfulikangzuo
注射用促皮质素	zhusheyongcupizhisu
注射用加替沙星	zhusheyongjiatishaxing
注射用双黄连	zhusheyongshuanghuanglian
注射用哌拉西林钠	zhusheyongpailaxilinna
注射用复合辅酶	zhusheyongfuhefumei
注射用多索茶碱	zhusheyongduosuochajian
注射用夫西地酸钠	zhusheyongfuxidisuanna
注射用头孢他啶	zhusheyongtoubaotading
注射用头孢匹胺钠	zhusheyongtoubaopianna
注射用头孢呋辛钠	zhusheyongtoubaofuxinna
注射用头孢哌酮钠	zhusheyongtoubaopaitongna
注射用头孢唑林钠	zhusheyongtoubaozuolinna
注射用头孢噻肟钠	zhusheyongtoubaosaiwona
注射用头孢地嗪钠	zhusheyongtoubaodiqinna
注射用头孢尼西钠	zhusheyongtoubaonixina
注射用头孢拉定	zhusheyongtoubaolading
注射用头孢曲松钠	zhusheyongtoubaoqusongna
注射用头孢替唑钠	zhusheyongtoubaotizuona
注射用头孢硫脒	zhusheyongtoubaoliumi
注射用头孢米诺钠	zhusheyongtoubaominuona
注射用头孢美唑钠	zhusheyongtoubaomeizuona
注射用头孢西丁钠	zhusheyongtoubaoxidingna
注射用奈达铂	zhusheyongnaidabo
注射用奥美拉唑钠	zhusheyongaomeilazuona
注射用尼莫地平	zhusheyongnimodiping
注射用尿激酶	zhusheyongniaojimei
注射用心肌肽	zhusheyongxinjitai
注射用更昔洛韦	zhusheyonggengxiluowei
注射用果糖	zhusheyongguotang
注射用氨曲南	zhusheyonganqunan
注射用法莫替丁	zhusheyongfamotiding
注射用泮托拉唑钠	zhusheyongpantuolazuona
注射用洛铂	zhusheyongluobo
注射用灯盏花素	zhusheyongdengzhanhuasu
注射用炎琥宁	zhusheyongyanhuning
注射用环磷腺苷	zhusheyonghuanlinxiangan
注射用环磷酰胺	zhusheyonghuanlinxianan
注射用玻璃酸酶	zhusheyongbolisuanmei
注射用甘氨双唑钠	zhusheyonggananshuangzuona
注射用甘露聚糖肽	zhusheyongganlujutangtai
注射用生长抑素	zhusheyongshengzhangyisu
注射用甲氨蝶呤	zhusheyongjiaandieling
注射用盐酸氨溴索	zhusheyongyansuananxiusuo
注射用硝普钠	zhusheyongxiaopuna
注射用硫代硫酸钠	zhusheyongliudailiusuanna
注射用硫酸链霉素	zhusheyongliusuanlianmeisu
注射用磷霉素钠	zhusheyonglinmeisuna
注射用磺苄西林钠	zhusheyonghuangbianxilinna
注射用穿琥宁	zhusheyongchuanhuning
注射用细辛脑	zhusheyongxixinnao
注射用绒促性素	zhusheyongrongcuxingsu
注射用美洛西林钠	zhusheyongmeiluoxilinna
注射用美罗培南	zhusheyongmeiluopeinan
注射用肝水解肽	zhusheyongganshuijietai
注射用胸腺五肽	zhusheyongxiongxianwutai
注射用胸腺肽	zhusheyongxiongxiantai
注射用苄星青霉素	zhusheyongbianxingqingmeisu
注射用葛根素	zhusheyonggegensu
注射用血凝酶	zhusheyongxueningmei
注射用血栓通	zhusheyongxueshuantong
注射用转化糖	zhusheyongzhuanhuatang
注射用醋酸奥曲肽	zhusheyongcusuanaoqutai
注射用长春西汀	zhusheyongchangchunxiting
注射用阿奇霉素	zhusheyongaqimeisu
注射用阿昔洛韦	zhusheyongaxiluowei
注射用阿洛西林钠	zhusheyongaluoxilinna
注射用阿糖腺苷	zhusheyongatangxiangan
注射用阿莫西林钠	zhusheyongamoxilinna
注射用青蒿琥酯	zhusheyongqinghaohuzhi
注射用青霉素钠	zhusheyongqingmeisuna
注射用青霉素钾	zhusheyongqingmeisujia
注射用顺铂	zhusheyongshunbo
注射用骨瓜提取物	zhusheyongguguatiquwu
注射用骨肽	zhusheyonggutai
注射给药	zhushegeiyao
注意增强	zhuyizengqiang
泪囊炎	leinangyan
泪小管断裂	leixiaoguanduanlie
泪溢	leiyi
泪道冲洗	leidaochongxi
泪道狭窄	leidaoxiazhai
泪道阻塞	leidaozuse
泮库溴铵	pankuxiuan
泮托拉唑	pantuolazuo
泮托拉唑钠	pantuolazuona
泮托拉唑钠肠溶片	pantuolazuonachangrongpian
泰利必妥	tailibituo
泰利霉素	tailimeisu
泰宝	taibao
泰脂安胶囊	taizhianjiaonang
泰诺	tainuo
泰诺林	tainuolin
泻痢停	xieliting
泻痢固肠丸	xieliguchangwan
泻痢消片	xielixiaopian
泻黄散	xiehuangsan
泼尼松龙	ponisonglong
泽田	zetian
洁尔阴泡腾片	jieeryinpaotengpian
洁尔阴洗液	jieeryinxiye
洁阴灵洗剂	jieyinlingxiji
洋参保肺丸	yangcanbaofeiwan
洋参保肺胶囊	yangcanbaofeijiaonang
洋参雪哈口服液	yangcanxuehakoufuye
洋参龟灵口服液	yangcanguilingkoufuye
洋地黄中毒	yangdihuangzhongdu
洋地黄毒苷注射液	yangdihuangduganzhusheye
洗必泰	xibitai
洗耳球	xierqiu
洛哌丁胺	luopaidingan
洛索洛芬钠	luosuoluofenna
洛索洛芬钠片	luosuoluofennapian
洛芬待因片	luofendaiyinpian
洛芬葡锌那敏片	luofenpuxinnaminpian
洞天长春膏	dongtianchangchungao
津力达颗粒	jinlidakeli
津液亏损	jinyekuisun
洪长庚	hongchanggeng
活体检验	huotijianyan
活力源口服液	huoliyuankoufuye
活力苏口服液	huolisukoufuye
活动性肝炎	huodongxingganyan
活动性肺结核	huodongxingfeijiehe
活动矫治器	huodongjiaozhiqi
